"year" "month" "temp"
1901 1 -0.3
1901 2 -0.9
1901 3 3.5
1901 4 9.1
1901 5 12.2
1901 6 14.7
1901 7 18.7
1901 8 16.7
1901 9 14.7
1901 10 10.3
1901 11 5.3
1901 12 2.9
1902 1 4.6
1902 2 -0.4
1902 3 5.2
1902 4 8.5
1902 5 9.4
1902 6 15.8
1902 7 15.5
1902 8 14.8
1902 9 13.1
1902 10 8.6
1902 11 3.7
1902 12 0.8
1903 1 2.9
1903 2 5.6
1903 3 7.1
1903 4 5.6
1903 5 12.8
1903 6 14.3
1903 7 15.6
1903 8 15.3
1903 9 14.4
1903 10 11.1
1903 11 5.7
1903 12 0.8
1904 1 0.7
1904 2 3
1904 3 3.7
1904 4 9.7
1904 5 12.1
1904 6 14.4
1904 7 18
1904 8 16
1904 9 12.4
1904 10 9.2
1904 11 5.5
1904 12 4
1905 1 1.3
1905 2 3.6
1905 3 6
1905 4 6.6
1905 5 11.9
1905 6 16.9
1905 7 18
1905 8 16
1905 9 12.9
1905 10 6.5
1905 11 3.8
1905 12 2.3
1906 1 3.6
1906 2 2.4
1906 3 4
1906 4 7.6
1906 5 12.5
1906 6 14.3
1906 7 17
1906 8 16.9
1906 9 13.4
1906 10 11.8
1906 11 7.9
1906 12 0.2
1907 1 1.7
1907 2 0.7
1907 3 4.7
1907 4 7.6
1907 5 12.6
1907 6 13.7
1907 7 13.9
1907 8 15.2
1907 9 13.7
1907 10 11.3
1907 11 5.8
1907 12 3.1
1908 1 -1.2
1908 2 3.7
1908 3 3.6
1908 4 6.1
1908 5 13.1
1908 6 16.3
1908 7 16.7
1908 8 15.3
1908 9 13.6
1908 10 9.9
1908 11 4.5
1908 12 1.1
1909 1 0.8
1909 2 0.6
1909 3 3
1909 4 8.6
1909 5 11.3
1909 6 13.2
1909 7 14.8
1909 8 16.3
1909 9 13.2
1909 10 11.1
1909 11 4.5
1909 12 3.2
1910 1 3.5
1910 2 4
1910 3 5.2
1910 4 7.9
1910 5 12.7
1910 6 16.4
1910 7 15.3
1910 8 16.1
1910 9 13.4
1910 10 10.3
1910 11 3.4
1910 12 5.7
1911 1 1.2
1911 2 3.5
1911 3 5.1
1911 4 7.2
1911 5 14
1911 6 14.8
1911 7 18.6
1911 8 19.4
1911 9 14.5
1911 10 9.5
1911 11 5.9
1911 12 5.2
1912 1 2
1912 2 4
1912 3 7.5
1912 4 8.7
1912 5 11.7
1912 6 15.2
1912 7 18.4
1912 8 14.1
1912 9 10.7
1912 10 7.9
1912 11 5.5
1912 12 5.4
1913 1 2.3
1913 2 3.4
1913 3 7
1913 4 8.7
1913 5 12.7
1913 6 14.3
1913 7 14.8
1913 8 15.3
1913 9 13.9
1913 10 11
1913 11 8.4
1913 12 4.2
1914 1 -0.1
1914 2 5.6
1914 3 6
1914 4 10.1
1914 5 11.6
1914 6 14.3
1914 7 17.9
1914 8 17.4
1914 9 13.7
1914 10 10
1914 11 5.1
1914 12 5
1915 1 3.2
1915 2 3.1
1915 3 4.1
1915 4 7.5
1915 5 12.4
1915 6 15.7
1915 7 15.6
1915 8 15.6
1915 9 13.1
1915 10 7.6
1915 11 2.9
1915 12 5.2
1916 1 6
1916 2 2.7
1916 3 4.4
1916 4 8.8
1916 5 13.1
1916 6 12.2
1916 7 15.3
1916 8 16.4
1916 9 13.3
1916 10 10.3
1916 11 5.9
1916 12 2.6
1917 1 -0.7
1917 2 -1.5
1917 3 1.9
1917 4 4.6
1917 5 14.7
1917 6 18.3
1917 7 16.7
1917 8 16.2
1917 9 14.6
1917 10 8.1
1917 11 7.3
1917 12 0
1918 1 2.8
1918 2 4
1918 3 4.6
1918 4 8.3
1918 5 13.9
1918 6 13.5
1918 7 16.2
1918 8 15.9
1918 9 13.1
1918 10 9.3
1918 11 4.3
1918 12 5.8
1919 1 1.9
1919 2 0.3
1919 3 4.1
1919 4 6.3
1919 5 13.8
1919 6 14.4
1919 7 13.9
1919 8 16
1919 9 14.4
1919 10 7
1919 11 1.8
1919 12 3.7
1920 1 4.2
1920 2 5.4
1920 3 7.3
1920 4 9.3
1920 5 12.9
1920 6 15.8
1920 7 16.2
1920 8 14.1
1920 9 13.2
1920 10 8.2
1920 11 3.2
1920 12 2.1
1921 1 6.2
1921 2 3.1
1921 3 6.7
1921 4 8.8
1921 5 13.4
1921 6 14.8
1921 7 18.1
1921 8 16.9
1921 9 14
1921 10 12.7
1921 11 1.3
1921 12 3.2
1922 1 0.4
1922 2 1.7
1922 3 4.2
1922 4 6.1
1922 5 13.4
1922 6 15.2
1922 7 15.1
1922 8 14.9
1922 9 12.6
1922 10 6.5
1922 11 4.9
1922 12 4.6
1923 1 4
1923 2 3
1923 3 6.5
1923 4 7.8
1923 5 10.3
1923 6 11.6
1923 7 18.9
1923 8 15.8
1923 9 13
1923 10 10.7
1923 11 2.9
1923 12 0.4
1924 1 0.1
1924 2 0.4
1924 3 3.3
1924 4 6.6
1924 5 13.3
1924 6 14.9
1924 7 16.3
1924 8 14.4
1924 9 14
1924 10 10.6
1924 11 5
1924 12 3.8
1925 1 3.8
1925 2 4.8
1925 3 3.6
1925 4 8.1
1925 5 13.8
1925 6 15.2
1925 7 18.4
1925 8 16.3
1925 9 11.8
1925 10 9.8
1925 11 2.8
1925 12 1.4
1926 1 2.2
1926 2 6.3
1926 3 5.8
1926 4 10
1926 5 10.7
1926 6 13.9
1926 7 17.8
1926 8 16.5
1926 9 15.4
1926 10 8
1926 11 6.7
1926 12 2.9
1927 1 3.9
1927 2 2.8
1927 3 6.6
1927 4 7.8
1927 5 11.4
1927 6 13.2
1927 7 17.1
1927 8 16.9
1927 9 14.1
1927 10 10.4
1927 11 4.1
1927 12 -1.2
1928 1 3.6
1928 2 4.8
