"year" "temp"
1901 8.9
1902 8.3
1903 9.3
1904 9.1
1905 8.8
1906 9.3
1907 8.7
1908 8.6
1909 8.4
1910 9.5
1911 9.9
1912 9.3
1913 9.7
1914 9.7
1915 8.8
1916 9.3
1917 8.4
1918 9.3
1919 8.1
1920 9.3
1921 9.9
1922 8.3
1923 8.7
1924 8.6
1925 9.2
1926 9.7
1927 8.9
1928 9.3
1929 8.3
1930 9.7
1931 8.8
1932 9.4
1933 9
1934 10.2
1935 9.7
1936 9.5
1937 9.5
1938 9.7
1939 9.6
1940 8.1
1941 8.7
1942 8.3
1943 9.6
1944 9.5
1945 10
1946 9.1
1947 9.5
1948 9.9
1949 10
1950 9.4
1951 9.8
1952 9
1953 9.9
1954 9.1
1955 9
1956 8.2
1957 9.7
1958 9.2
1959 9.9
1960 9.6
1961 9.8
1962 8.1
1963 7.8
1964 8.9
1965 8.5
1966 9.4
1967 9.9
1968 9.1
1969 9.5
1970 9.1
1971 9.5
1972 8.8
1973 9.3
1974 9.7
1975 9.8
1976 10
1977 9.8
1978 9
1979 8.5
1980 9.3
1981 9.2
1982 10.1
1983 10.1
1984 9.5
1985 8.5
1986 9
1987 8.9
1988 10.3
1989 10.7
1990 10.9
1991 9.5
1992 10.5
1993 9.6
1994 10.6
1995 10.4
1996 8.6
1997 10.3
1998 10.4
1999 10.9
2000 10.9
2001 10.4
2002 10.8
2003 10.3
2004 10.3
2005 10.7
2006 11.2
2007 11.2
2008 10.6
2009 10.5
2010 9.1
2011 10.9
2012 10.3
