"year" "month" "disch" "prec" "temp"
1940 1 2.072 32.51 10.17
1940 2 1.57 21.08 5.33
1940 3 1.557 13.72 3.22
1940 4 1.593 14.73 0.89
1940 5 3.663 43.43 2.06
1940 6 4.817 12.95 6.22
1940 7 2.246 14.22 9.33
1940 8 1.759 27.69 14.61
1940 9 1.104 34.29 19.11
1940 10 2.579 60.96 20.67
1940 11 9.984 70.1 19.22
1940 12 5.825 70.36 16.44
1941 1 2.413 11.43 11.11
1941 2 2.37 43.69 3.67
1941 3 13.668 44.7 3.39
1941 4 13.908 35.56 0.89
1941 5 21.739 29.72 3.67
1941 6 37.865 40.64 4.67
1941 7 29.01 47.24 6.56
1941 8 25.762 45.72 13.56
1941 9 4.588 28.96 16.39
1941 10 3.251 64.77 19.44
1941 11 4.449 72.14 19
1941 12 6.91 97.54 15.89
1942 1 5.582 42.42 10.39
1942 2 4.483 19.3 4.72
1942 3 8.29 28.96 1.17
1942 4 6.088 12.95 0.44
1942 5 4.762 14.22 -0.06
1942 6 8.133 4.06 2.89
1942 7 9.032 19.81 8.83
1942 8 3.187 0.51 13.06
1942 9 1.542 4.06 18.78
1942 10 1.575 43.18 20.94
1942 11 3.786 82.8 19
1942 12 1.723 41.4 15.83
1943 1 1.86 26.92 10.11
1943 2 1.77 0.51 6.83
1943 3 1.953 30.48 2.39
1943 4 2.091 20.83 1.11
1943 5 1.831 5.08 3.83
1943 6 1.907 21.84 5.56
1943 7 1.332 5.08 11.17
1943 8 1.51 10.41 14.39
1943 9 1.104 44.7 18.22
1943 10 2.183 58.93 20.39
1943 11 2.864 67.56 20.44
1943 12 1.647 43.94 16.44
1944 1 2.487 11.43 9.94
1944 2 1.885 6.1 4.56
1944 3 1.759 21.84 0.11
1944 4 1.667 11.68 -1.06
1944 5 1.625 13.46 1.22
1944 6 1.925 10.16 3.67
1944 7 1.285 5.33 7.61
1944 8 1.068 9.4 13.06
1944 9 1.028 5.84 17.83
1944 10 1.805 67.06 20.33
1944 11 2.929 85.09 19.89
1944 12 3.76 71.37 15.89
1945 1 1.612 34.04 11.39
1945 2 1.751 28.96 3.5
1945 3 1.888 18.54 0.94
1945 4 1.778 23.37 0.33
1945 5 2.737 2.29 3.44
1945 6 6.622 18.54 4.17
1945 7 7.985 3.81 7.56
1945 8 3.426 0.51 13.94
1945 9 1.199 1.52 17.11
1945 10 1.391 38.35 20.89
1945 11 4.817 65.53 20.78
1945 12 1.523 10.92 17
1946 1 1.934 30.99 11.5
1946 2 1.504 0.25 4.44
1946 3 1.704 16.26 -1.33
1946 4 1.492 34.8 -2.5
1946 5 1.369 1.78 1.33
1946 6 1.262 10.67 5.33
1946 7 0.98 6.6 11.39
1946 8 0.958 4.06 13.11
1946 9 0.609 6.6 19.72
1946 10 1.695 64.52 20.56
1946 11 5.784 96.52 19.72
1946 12 4.787 45.97 17.44
1947 1 2.579 20.83 10.22
1947 2 1.865 18.03 3.11
1947 3 1.759 9.14 2.94
1947 4 1.557 11.94 -1.78
1947 5 1.29 3.3 3.83
1947 6 1.05 6.35 5.67
1947 7 0.79 1.52 8.83
1947 8 0.875 22.1 14.56
1947 9 0.742 14.22 17.67
1947 10 0.857 27.94 22.11
1947 11 4.08 115.82 19.56
1947 12 1.361 14.22 17.5
1948 1 0.94 12.19 12.28
1948 2 1.266 14.73 2.33
1948 3 1.216 17.27 -1.06
1948 4 1.243 10.41 0.28
1948 5 1.782 57.91 1.22
1948 6 7.553 16 2
1948 7 9.46 0.51 10.67
1948 8 1.243 6.6 14.67
1948 9 0.904 33.78 18.89
1948 10 1.584 37.59 21.5
1948 11 1.188 42.93 20.89
1948 12 0.647 28.45 17.56
1949 1 0.958 34.29 10.83
1949 2 1.447 2.03 2.44
1949 3 4.799 34.54 1.89
1949 4 25.117 48.26 -3.39
1949 5 7.493 13.46 0.28
1949 6 30.008 8.89 5
1949 7 13.505 13.97 9
1949 8 5.821 12.19 13.39
1949 9 2.142 22.35 18.61
1949 10 3.583 75.95 20.78
1949 11 3.362 40.39 19.78
1949 12 2.113 64.26 17.61
1950 1 1.658 13.21 9.78
1950 2 1.713 2.03 7.22
1950 3 1.713 17.78 -0.83
1950 4 1.75 5.84 1
1950 5 1.457 7.11 4
1950 6 1.271 8.89 5.89
1950 7 0.999 4.83 10.61
1950 8 0.875 0.25 13.28
1950 9 0.6 4.83 19.28
1950 10 2.699 80.01 20.39
1950 11 1.243 28.96 19.22
1950 12 0.999 39.62 15.44
1951 1 1.253 9.91 14.22
1951 2 0.8 0.25 6.89
1951 3 1.022 0.51 3.67
1951 4 1.188 13.72 0.39
1951 5 1.31 7.62 2
1951 6 0.94 11.43 4.83
1951 7 0.866 18.29 9.11
1951 8 1.041 2.03 14.28
1951 9 0.838 0.25 18.22
1951 10 0.94 39.12 22.67
1951 11 3.564 62.74 20.61
1951 12 0.895 8.89 17.89
1952 1 1.51 26.67 10.94
1952 2 1.437 8.89 4.22
1952 3 1.64 28.96 0.56
1952 4 24.629 28.45 2.5
1952 5 3.141 6.86 1.72
1952 6 4.532 25.65 2.44
1952 7 15.19 32 9.06
1952 8 6.291 14.48 14.5
1952 9 2.846 37.59 19.5
1952 10 2.063 49.28 20.67
1952 11 2.174 53.85 21.06
1952 12 1.294 27.18 17.11
1953 1 0.829 0 12.06
1953 2 1.304 17.02 1.83
1953 3 1.538 8.64 -0.33
1953 4 1.335 1.27 3.17
1953 5 1.132 16.26 0.5
1953 6 1.934 32.26 5.72
1953 7 1.104 18.03 8.94
1953 8 1.022 2.79 11.28
1953 9 0.885 17.02 19.61
1953 10 1.437 70.36 21.28
1953 11 1.575 40.13 19.5
1953 12 0.524 0.76 17
1954 1 0.682 8.38 10.28
1954 2 0.685 9.14 4.67
1954 3 0.737 7.62 -2.11
1954 4 1.059 7.37 1.28
1954 5 1.024 2.54 4
1954 6 5.913 35.05 4.5
