"year" "month" "disch" "prec" "temp" "fracyear" "Adisch" "Aprec" "Atemp"
1940 1 2.072 32.51 10.17 1940 0.22 7.32 -0.84
1940 2 1.57 21.08 5.33 1940.08 -0.16 10.27 1.09
1940 3 1.557 13.72 3.22 1940.17 -1.03 -3.42 1.97
1940 4 1.593 14.73 0.89 1940.25 -3.23 -3.84 0.74
1940 5 3.663 43.43 2.06 1940.33 0.51 28.95 0.07
1940 6 4.817 12.95 6.22 1940.42 -2.97 -3.67 1.59
1940 7 2.246 14.22 9.33 1940.5 -4.11 1.78 0.18
1940 8 1.759 27.69 14.61 1940.58 -1.53 16.55 1
1940 9 1.104 34.29 19.11 1940.67 -0.15 17.02 0.41
1940 10 2.579 60.96 20.67 1940.75 0.59 4.78 -0.19
1940 11 9.984 70.1 19.22 1940.83 5.11 0.73 -0.51
1940 12 5.825 70.36 16.44 1940.92 3.52 36.51 -0.28
1941 1 2.413 11.43 11.11 1941 0.56 -13.76 0.1
1941 2 2.37 43.69 3.67 1941.08 0.64 32.88 -0.57
1941 3 13.668 44.7 3.39 1941.17 11.08 27.56 2.14
1941 4 13.908 35.56 0.89 1941.25 9.08 16.99 0.74
1941 5 21.739 29.72 3.67 1941.33 18.59 15.24 1.68
1941 6 37.865 40.64 4.67 1941.42 30.08 24.02 0.04
1941 7 29.01 47.24 6.56 1941.5 22.66 34.8 -2.59
1941 8 25.762 45.72 13.56 1941.58 22.47 34.58 -0.05
1941 9 4.588 28.96 16.39 1941.67 3.33 11.69 -2.31
1941 10 3.251 64.77 19.44 1941.75 1.26 8.59 -1.42
1941 11 4.449 72.14 19 1941.83 -0.43 2.77 -0.73
1941 12 6.91 97.54 15.89 1941.92 4.61 63.69 -0.83
1942 1 5.582 42.42 10.39 1942 3.73 17.23 -0.62
1942 2 4.483 19.3 4.72 1942.08 2.75 8.49 0.48
1942 3 8.29 28.96 1.17 1942.17 5.7 11.82 -0.08
1942 4 6.088 12.95 0.44 1942.25 1.26 -5.62 0.29
1942 5 4.762 14.22 -0.06 1942.33 1.61 -0.26 -2.05
1942 6 8.133 4.06 2.89 1942.42 0.35 -12.56 -1.74
1942 7 9.032 19.81 8.83 1942.5 2.68 7.37 -0.32
1942 8 3.187 0.51 13.06 1942.58 -0.1 -10.63 -0.55
1942 9 1.542 4.06 18.78 1942.67 0.29 -13.21 0.08
1942 10 1.575 43.18 20.94 1942.75 -0.42 -13 0.08
1942 11 3.786 82.8 19 1942.83 -1.09 13.43 -0.73
1942 12 1.723 41.4 15.83 1942.92 -0.58 7.55 -0.89
1943 1 1.86 26.92 10.11 1943 0 1.73 -0.9
1943 2 1.77 0.51 6.83 1943.08 0.04 -10.3 2.59
1943 3 1.953 30.48 2.39 1943.17 -0.64 13.34 1.14
1943 4 2.091 20.83 1.11 1943.25 -2.74 2.26 0.96
1943 5 1.831 5.08 3.83 1943.33 -1.32 -9.4 1.84
1943 6 1.907 21.84 5.56 1943.42 -5.88 5.22 0.93
1943 7 1.332 5.08 11.17 1943.5 -5.02 -7.36 2.02
1943 8 1.51 10.41 14.39 1943.58 -1.78 -0.73 0.78
1943 9 1.104 44.7 18.22 1943.67 -0.15 27.43 -0.48
1943 10 2.183 58.93 20.39 1943.75 0.19 2.75 -0.47
1943 11 2.864 67.56 20.44 1943.83 -2.01 -1.81 0.71
1943 12 1.647 43.94 16.44 1943.92 -0.65 10.09 -0.28
1944 1 2.487 11.43 9.94 1944 0.63 -13.76 -1.07
1944 2 1.885 6.1 4.56 1944.08 0.15 -4.71 0.32
1944 3 1.759 21.84 0.11 1944.17 -0.83 4.7 -1.14
1944 4 1.667 11.68 -1.06 1944.25 -3.16 -6.89 -1.21
1944 5 1.625 13.46 1.22 1944.33 -1.52 -1.02 -0.77
1944 6 1.925 10.16 3.67 1944.42 -5.86 -6.46 -0.96
1944 7 1.285 5.33 7.61 1944.5 -5.07 -7.11 -1.54
1944 8 1.068 9.4 13.06 1944.58 -2.22 -1.74 -0.55
1944 9 1.028 5.84 17.83 1944.67 -0.23 -11.43 -0.87
1944 10 1.805 67.06 20.33 1944.75 -0.19 10.88 -0.53
1944 11 2.929 85.09 19.89 1944.83 -1.95 15.72 0.16
1944 12 3.76 71.37 15.89 1944.92 1.46 37.52 -0.83
1945 1 1.612 34.04 11.39 1945 -0.24 8.85 0.38
1945 2 1.751 28.96 3.5 1945.08 0.02 18.15 -0.74
1945 3 1.888 18.54 0.94 1945.17 -0.7 1.4 -0.31
1945 4 1.778 23.37 0.33 1945.25 -3.05 4.8 0.18
1945 5 2.737 2.29 3.44 1945.33 -0.41 -12.19 1.45
1945 6 6.622 18.54 4.17 1945.42 -1.16 1.92 -0.46
1945 7 7.985 3.81 7.56 1945.5 1.63 -8.63 -1.59
1945 8 3.426 0.51 13.94 1945.58 0.14 -10.63 0.33
1945 9 1.199 1.52 17.11 1945.67 -0.06 -15.75 -1.59
1945 10 1.391 38.35 20.89 1945.75 -0.6 -17.83 0.03
1945 11 4.817 65.53 20.78 1945.83 -0.06 -3.84 1.05
1945 12 1.523 10.92 17 1945.92 -0.78 -22.93 0.28
1946 1 1.934 30.99 11.5 1946 0.08 5.8 0.49
1946 2 1.504 0.25 4.44 1946.08 -0.23 -10.56 0.2
1946 3 1.704 16.26 -1.33 1946.17 -0.89 -0.88 -2.58
1946 4 1.492 34.8 -2.5 1946.25 -3.33 16.23 -2.65
1946 5 1.369 1.78 1.33 1946.33 -1.78 -12.7 -0.66
1946 6 1.262 10.67 5.33 1946.42 -6.52 -5.95 0.7
1946 7 0.98 6.6 11.39 1946.5 -5.37 -5.84 2.24
1946 8 0.958 4.06 13.11 1946.58 -2.33 -7.08 -0.5
1946 9 0.609 6.6 19.72 1946.67 -0.65 -10.67 1.02
1946 10 1.695 64.52 20.56 1946.75 -0.3 8.34 -0.3
1946 11 5.784 96.52 19.72 1946.83 0.91 27.15 -0.01
1946 12 4.787 45.97 17.44 1946.92 2.49 12.12 0.72
1947 1 2.579 20.83 10.22 1947 0.72 -4.36 -0.79
1947 2 1.865 18.03 3.11 1947.08 0.13 7.22 -1.13
1947 3 1.759 9.14 2.94 1947.17 -0.83 -8 1.69
1947 4 1.557 11.94 -1.78 1947.25 -3.27 -6.63 -1.93
1947 5 1.29 3.3 3.83 1947.33 -1.86 -11.18 1.84
1947 6 1.05 6.35 5.67 1947.42 -6.74 -10.27 1.04
1947 7 0.79 1.52 8.83 1947.5 -5.56 -10.92 -0.32
1947 8 0.875 22.1 14.56 1947.58 -2.41 10.96 0.95
1947 9 0.742 14.22 17.67 1947.67 -0.51 -3.05 -1.03
1947 10 0.857 27.94 22.11 1947.75 -1.14 -28.24 1.25
1947 11 4.08 115.82 19.56 1947.83 -0.8 46.45 -0.17
1947 12 1.361 14.22 17.5 1947.92 -0.94 -19.63 0.78
1948 1 0.94 12.19 12.28 1948 -0.92 -13 1.27
1948 2 1.266 14.73 2.33 1948.08 -0.46 3.92 -1.91
1948 3 1.216 17.27 -1.06 1948.17 -1.37 0.13 -2.31
1948 4 1.243 10.41 0.28 1948.25 -3.58 -8.16 0.13
1948 5 1.782 57.91 1.22 1948.33 -1.37 43.43 -0.77
1948 6 7.553 16 2 1948.42 -0.23 -0.62 -2.63
1948 7 9.46 0.51 10.67 1948.5 3.11 -11.93 1.52
1948 8 1.243 6.6 14.67 1948.58 -2.05 -4.54 1.06
1948 9 0.904 33.78 18.89 1948.67 -0.35 16.51 0.19
1948 10 1.584 37.59 21.5 1948.75 -0.41 -18.59 0.64
1948 11 1.188 42.93 20.89 1948.83 -3.69 -26.44 1.16
1948 12 0.647 28.45 17.56 1948.92 -1.65 -5.4 0.84
1949 1 0.958 34.29 10.83 1949 -0.9 9.1 -0.18
1949 2 1.447 2.03 2.44 1949.08 -0.28 -8.78 -1.8
1949 3 4.799 34.54 1.89 1949.17 2.21 17.4 0.64
1949 4 25.117 48.26 -3.39 1949.25 20.29 29.69 -3.54
1949 5 7.493 13.46 0.28 1949.33 4.34 -1.02 -1.71
1949 6 30.008 8.89 5 1949.42 22.22 -7.73 0.37
1949 7 13.505 13.97 9 1949.5 7.15 1.53 -0.15
1949 8 5.821 12.19 13.39 1949.58 2.53 1.05 -0.22
1949 9 2.142 22.35 18.61 1949.67 0.89 5.08 -0.09
1949 10 3.583 75.95 20.78 1949.75 1.59 19.77 -0.08
1949 11 3.362 40.39 19.78 1949.83 -1.51 -28.98 0.05
1949 12 2.113 64.26 17.61 1949.92 -0.19 30.41 0.89
1950 1 1.658 13.21 9.78 1950 -0.2 -11.98 -1.23
1950 2 1.713 2.03 7.22 1950.08 -0.02 -8.78 2.98
1950 3 1.713 17.78 -0.83 1950.17 -0.88 0.64 -2.08
1950 4 1.75 5.84 1 1950.25 -3.08 -12.73 0.85
1950 5 1.457 7.11 4 1950.33 -1.69 -7.37 2.01
1950 6 1.271 8.89 5.89 1950.42 -6.52 -7.73 1.26
1950 7 0.999 4.83 10.61 1950.5 -5.35 -7.61 1.46
1950 8 0.875 0.25 13.28 1950.58 -2.41 -10.89 -0.33
1950 9 0.6 4.83 19.28 1950.67 -0.66 -12.44 0.58
1950 10 2.699 80.01 20.39 1950.75 0.71 23.83 -0.47
1950 11 1.243 28.96 19.22 1950.83 -3.63 -40.41 -0.51
1950 12 0.999 39.62 15.44 1950.92 -1.3 5.77 -1.28
1951 1 1.253 9.91 14.22 1951 -0.6 -15.28 3.21
1951 2 0.8 0.25 6.89 1951.08 -0.93 -10.56 2.65
1951 3 1.022 0.51 3.67 1951.17 -1.57 -16.63 2.42
1951 4 1.188 13.72 0.39 1951.25 -3.64 -4.85 0.24
1951 5 1.31 7.62 2 1951.33 -1.84 -6.86 0.01
1951 6 0.94 11.43 4.83 1951.42 -6.85 -5.19 0.2
1951 7 0.866 18.29 9.11 1951.5 -5.49 5.85 -0.04
1951 8 1.041 2.03 14.28 1951.58 -2.25 -9.11 0.67
1951 9 0.838 0.25 18.22 1951.67 -0.42 -17.02 -0.48
1951 10 0.94 39.12 22.67 1951.75 -1.05 -17.06 1.81
1951 11 3.564 62.74 20.61 1951.83 -1.31 -6.63 0.88
1951 12 0.895 8.89 17.89 1951.92 -1.41 -24.96 1.17
1952 1 1.51 26.67 10.94 1952 -0.35 1.48 -0.07
1952 2 1.437 8.89 4.22 1952.08 -0.29 -1.92 -0.02
1952 3 1.64 28.96 0.56 1952.17 -0.95 11.82 -0.69
1952 4 24.629 28.45 2.5 1952.25 19.8 9.88 2.35
1952 5 3.141 6.86 1.72 1952.33 -0.01 -7.62 -0.27
1952 6 4.532 25.65 2.44 1952.42 -3.25 9.03 -2.19
1952 7 15.19 32 9.06 1952.5 8.84 19.56 -0.09
1952 8 6.291 14.48 14.5 1952.58 3 3.34 0.89
1952 9 2.846 37.59 19.5 1952.67 1.59 20.32 0.8
1952 10 2.063 49.28 20.67 1952.75 0.07 -6.9 -0.19
1952 11 2.174 53.85 21.06 1952.83 -2.7 -15.52 1.33
1952 12 1.294 27.18 17.11 1952.92 -1.01 -6.67 0.39
1953 1 0.829 0 12.06 1953 -1.03 -25.19 1.05
1953 2 1.304 17.02 1.83 1953.08 -0.43 6.21 -2.41
1953 3 1.538 8.64 -0.33 1953.17 -1.05 -8.5 -1.58
1953 4 1.335 1.27 3.17 1953.25 -3.49 -17.3 3.02
1953 5 1.132 16.26 0.5 1953.33 -2.02 1.78 -1.49
1953 6 1.934 32.26 5.72 1953.42 -5.85 15.64 1.09
1953 7 1.104 18.03 8.94 1953.5 -5.25 5.59 -0.21
1953 8 1.022 2.79 11.28 1953.58 -2.27 -8.35 -2.33
1953 9 0.885 17.02 19.61 1953.67 -0.37 -0.25 0.91
1953 10 1.437 70.36 21.28 1953.75 -0.56 14.18 0.42
1953 11 1.575 40.13 19.5 1953.83 -3.3 -29.24 -0.23
1953 12 0.524 0.76 17 1953.92 -1.78 -33.09 0.28
1954 1 0.682 8.38 10.28 1954 -1.17 -16.81 -0.73
1954 2 0.685 9.14 4.67 1954.08 -1.05 -1.67 0.43
1954 3 0.737 7.62 -2.11 1954.17 -1.85 -9.52 -3.36
1954 4 1.059 7.37 1.28 1954.25 -3.77 -11.2 1.13
1954 5 1.024 2.54 4 1954.33 -2.12 -11.94 2.01
1954 6 5.913 35.05 4.5 1954.42 -1.87 18.43 -0.13
1954 7 1.095 4.06 11.44 1954.5 -5.26 -8.38 2.29
1954 8 1.197 14.73 14.33 1954.58 -2.09 3.59 0.72
1954 9 1.209 12.7 18.33 1954.67 -0.05 -4.57 -0.37
1954 10 2.035 59.18 21.67 1954.75 0.04 3 0.81
1954 11 8.566 72.39 19 1954.83 3.69 3.02 -0.73
1954 12 1.618 42.42 17.28 1954.92 -0.68 8.57 0.56
1955 1 1.262 22.35 12.17 1955 -0.59 -2.84 1.16
1955 2 0.999 0.25 5.56 1955.08 -0.73 -10.56 1.32
1955 3 0.986 3.3 0.11 1955.17 -1.6 -13.84 -1.14
1955 4 1.151 21.08 -2.06 1955.25 -3.68 2.51 -2.21
1955 5 1.122 4.57 -1.39 1955.33 -2.03 -9.91 -3.38
1955 6 0.792 2.79 4.44 1955.42 -6.99 -13.83 -0.19
1955 7 0.581 2.29 7.78 1955.5 -5.77 -10.15 -1.37
1955 8 0.534 14.73 12.5 1955.58 -2.75 3.59 -1.11
1955 9 0.695 9.4 17.72 1955.67 -0.56 -7.87 -0.98
1955 10 4.301 65.28 19.89 1955.75 2.31 9.1 -0.97
1955 11 7.783 92.96 19.67 1955.83 2.91 23.59 -0.06
1955 12 1.085 2.79 16.5 1955.92 -1.22 -31.06 -0.22
1956 1 1.722 21.08 11.83 1956 -0.13 -4.11 0.82
1956 2 0.704 1.27 4.72 1956.08 -1.03 -9.54 0.48
1956 3 0.81 7.62 2.61 1956.17 -1.78 -9.52 1.36
1956 4 0.764 18.03 2.72 1956.25 -4.06 -0.54 2.57
1956 5 0.847 19.81 -1.06 1956.33 -2.3 5.33 -3.05
1956 6 0.801 0.25 5.67 1956.42 -6.99 -16.37 1.04
1956 7 0.59 4.32 8.17 1956.5 -5.76 -8.12 -0.98
1956 8 0.488 4.83 14.83 1956.58 -2.8 -6.31 1.22
1956 9 0.324 13.72 20.06 1956.67 -0.93 -3.55 1.36
1956 10 0.921 51.05 20.22 1956.75 -1.07 -5.13 -0.64
1956 11 1.041 38.86 18.22 1956.83 -3.83 -30.51 -1.51
1956 12 0.438 1.52 17.44 1956.92 -1.86 -32.33 0.72
1957 1 0.59 12.45 10.78 1957 -1.27 -12.74 -0.23
1957 2 0.609 0.25 1.94 1957.08 -1.12 -10.56 -2.3
1957 3 0.764 2.54 -0.28 1957.17 -1.83 -14.6 -1.53
1957 4 1.142 24.64 2.06 1957.25 -3.68 6.07 1.91
1957 5 0.916 10.41 6.56 1957.33 -2.23 -4.07 4.57
1957 6 0.93 19.56 5.44 1957.42 -6.86 2.94 0.81
1957 7 0.581 17.78 8.22 1957.5 -5.77 5.34 -0.93
1957 8 1.64 21.34 11.5 1957.58 -1.65 10.2 -2.11
