"AT" "WT00" "WT10" "WT25" "WT50" "WT75"
-1.521 3.502618 3.435816 3.335614 3.508339 3.476788
4.3768 3.748019 3.734667 3.71464 3.7497 3.736675
6.9032 4.259038 4.250524 4.237754 4.151777 3.606108
12.71 8.926123 8.89402 8.845866 8.659674 6.662916
15.8887 14.5887 14.58474 14.57881 14.17901 12.24346
16.6983 18.41571 18.30174 18.1308 17.59201 10.1677
19.9371 21.23446 20.99752 20.64211 19.13985 15.18963
18.4 21.31526 21.27082 21.20416 20.89223 17.12696
16.0617 18.87968 18.8837 18.88973 18.67233 18.07024
9.1742 14.32505 14.28993 14.23725 14.13483 14.38477
4.385 9.095476 9.054275 8.992472 9.007186 9.039542
-0.7177 6.144545 6.149653 6.157313 6.237238 6.076873
-2.6855 4.287022 4.319637 4.368538 4.206023 3.64376
-1.4179 3.28445 3.306902 3.340541 2.734281 1.987234
6.2532 3.674691 3.665698 3.652173 2.76031 2.15371
12.8317 6.226006 6.180564 6.112414 5.416568 5.262139
15.921 13.40183 13.38928 13.37052 12.49554 9.452444
19.64 20.99375 21.06205 21.16622 19.61092 12.04949
21.2452 23.3428 23.44307 23.59885 22.06303 13.99873
21.8435 21.81123 21.90462 22.05373 20.99599 15.10749
18.4833 18.13191 18.19501 18.30007 17.84364 15.04881
10.3323 13.9774 14.00201 14.0464 13.99962 13.54706
6.9183 10.81541 10.78233 10.73259 10.66934 10.60613
2.0726 8.733723 8.522611 8.201342 7.94043 7.695147
3.9968 7.303243 6.901116 6.293705 5.900507 5.689001
2.519 6.34896 5.958557 5.37113 5.033334 4.94432
9.5355 5.732882 5.713858 5.685201 5.668193 5.662323
10.9683 10.24775 9.886488 9.3446 8.924837 7.847563
15.7581 17.0207 16.98097 16.92138 16.9319 15.08649
16.985 17.45284 17.30832 17.09155 17.17926 17.0703
16.6419 16.83151 16.37709 15.69546 15.09645 14.43854
18.6258 20.78144 20.07535 19.01625 18.34415 16.17266
15.5567 17.89211 17.74764 17.53086 17.10119 15.6295
11.3581 14.70849 14.70997 14.71243 14.72759 14.77888
5.0667 10.81334 10.8102 10.80697 10.80046 10.7951
0.5355 6.898859 6.935631 7.009064 7.070762 7.089069
1.0581 3.227668 3.509522 3.952089 4.449188 4.633085
2.5339 1.992535 2.374038 2.954861 3.633321 3.870249
4.3694 4.846012 4.761714 4.635704 4.489407 4.3172
13.1183 10.38524 9.633694 8.506537 7.32008 6.547876
12.95 15.39854 14.59258 13.38356 12.21159 11.58225
17.465 20.41328 19.7856 18.84398 17.71693 17.28092
21.0387 23.12527 22.77279 22.24407 21.35473 19.27499
20.0097 23.22373 23.02201 22.71941 22.3737 19.08746
18.3567 21.6176 21.34133 20.92692 20.97271 20.73778
12.4661 15.53888 15.37274 15.12358 15.22072 15.87746
3.6183 9.11343 9.107413 9.09838 9.100303 9.124566
3.0516 6.256496 6.277244 6.308246 6.258231 6.048998
-0.371 5.484354 5.468404 5.444487 5.394568 5.33037
3.8804 4.571059 4.562948 4.550909 4.532732 4.527145
6.3129 5.162306 5.106734 5.026576 4.891876 4.747304
7.5883 6.854161 6.784451 6.681016 6.461968 6.065709
15.2435 15.11521 14.3725 13.25819 9.561351 8.086904
19.34 20.1506 19.79712 19.267 17.82759 14.55387
20.929 22.53209 22.49929 22.45004 22.55871 19.56914
18.8742 23.12741 22.90315 22.56674 21.97765 20.9074
14.2783 18.45009 18.35619 18.21542 17.99239 17.67639
9.5032 13.66666 13.69806 13.74485 13.82011 13.73974
4.7817 9.585356 9.586348 9.589373 9.594306 9.636583
-1.6871 5.864912 5.879867 5.894854 5.924746 5.94496
1.5806 4.502834 4.508636 4.514628 4.526461 4.536374
2.6 4.221747 4.223555 4.226447 4.231143 4.231294
3.9 4.440532 4.42843 4.410223 4.379915 4.374624
8.6817 6.362964 6.262752 6.112452 5.86194 5.746283
12.4984 12.323 12.24474 12.12734 11.93167 10.31295
16.19 19.01249 18.6577 18.1255 17.23852 13.14807
18.6629 21.73095 21.50041 21.1546 20.57822 18.44308
18.0935 20.24423 20.17236 20.06455 19.88491 17.13895
15.6183 18.73716 18.74889 18.76649 18.79585 18.30834
8.2484 13.8485 13.83204 13.80733 13.76696 13.71501
6.735 9.599184 9.602238 9.606911 9.610086 9.627102
0.5597 6.708225 6.70681 6.704428 6.713384 6.709736
-0.4742 4.927324 4.928358 4.930188 4.921664 4.922517
-0.5276 3.32724 3.352802 3.395488 3.443142 3.510728
5.721 4.68427 4.641627 4.578409 4.313527 4.209169
11.2317 11.45364 11.20304 10.82702 7.759976 6.567183
14.3016 15.58352 15.33809 14.96993 14.39364 12.64923
17.8567 20.87698 20.31484 19.47154 18.57236 16.88975
21.4032 24.22897 23.75565 23.0458 21.76006 18.60542
19.7984 23.05389 23.02277 22.97583 22.9117 20.19706
12.0883 17.82301 17.86376 17.92666 18.02106 17.96247
9.1177 10.95444 10.9391 10.92113 10.87883 10.82631
2.925 7.222801 7.219537 7.220072 7.206237 7.205374
0.2871 5.471255 5.482938 5.499767 5.529475 5.557654
-2.4403 3.932789 3.943507 3.944631 3.960336 3.969017
-0.1196 3.132169 3.137906 3.133189 3.174046 3.191895
6.7242 3.602582 3.53516 3.432197 3.438671 3.423755
10.5333 7.8122 7.568393 7.202062 6.603271 6.163688
14.9694 13.68941 13.29031 12.68764 11.6773 10.75041
15.575 18.82817 18.02192 16.81266 14.79694 13.93727
18.9258 20.04943 19.32684 18.24295 16.4367 15.01343
18.3935 20.0761 20.11451 20.17194 20.26703 18.57665
15.81 18.94982 18.92845 18.89841 18.85285 18.48462
11.0645 14.54829 14.56189 14.58754 14.63031 14.67582
3.5233 10.7262 10.73923 10.76323 10.79126 10.82566
