"Depth" "AirTemp" "WaterTemp"
"1" 0 -1.521 3.502618
"2" 1 -1.521 3.435816
"3" 2.5 -1.521 3.335614
"4" 5 -1.521 3.508339
"5" 7.5 -1.521 3.476788
"35" 0 4.3768 3.748019
"36" 1 4.3768 3.734667
"37" 2.5 4.3768 3.71464
"38" 5 4.3768 3.7497
"39" 7.5 4.3768 3.736675
"69" 0 6.9032 4.259038
"70" 1 6.9032 4.250524
"71" 2.5 6.9032 4.237754
"72" 5 6.9032 4.151777
"73" 7.5 6.9032 3.606108
"103" 0 12.71 8.926123
"104" 1 12.71 8.89402
"105" 2.5 12.71 8.845866
"106" 5 12.71 8.659674
"107" 7.5 12.71 6.662916
"137" 0 15.8887 14.5887
"138" 1 15.8887 14.58474
"139" 2.5 15.8887 14.57881
"140" 5 15.8887 14.17901
"141" 7.5 15.8887 12.24346
"171" 0 16.6983 18.41571
"172" 1 16.6983 18.30174
"173" 2.5 16.6983 18.1308
"174" 5 16.6983 17.59201
"175" 7.5 16.6983 10.1677
"205" 0 19.9371 21.23446
"206" 1 19.9371 20.99752
"207" 2.5 19.9371 20.64211
"208" 5 19.9371 19.13985
"209" 7.5 19.9371 15.18963
"239" 0 18.4 21.31526
"240" 1 18.4 21.27082
"241" 2.5 18.4 21.20416
"242" 5 18.4 20.89223
"243" 7.5 18.4 17.12696
"273" 0 16.0617 18.87968
"274" 1 16.0617 18.8837
"275" 2.5 16.0617 18.88973
"276" 5 16.0617 18.67233
"277" 7.5 16.0617 18.07024
"307" 0 9.1742 14.32505
"308" 1 9.1742 14.28993
"309" 2.5 9.1742 14.23725
"310" 5 9.1742 14.13483
"311" 7.5 9.1742 14.38477
"341" 0 4.385 9.095476
"342" 1 4.385 9.054275
"343" 2.5 4.385 8.992472
"344" 5 4.385 9.007186
"345" 7.5 4.385 9.039542
"375" 0 -0.7177 6.144545
"376" 1 -0.7177 6.149653
"377" 2.5 -0.7177 6.157313
"378" 5 -0.7177 6.237238
"379" 7.5 -0.7177 6.076873
"409" 0 -2.6855 4.287022
"410" 1 -2.6855 4.319637
"411" 2.5 -2.6855 4.368538
"412" 5 -2.6855 4.206023
"413" 7.5 -2.6855 3.64376
"443" 0 -1.4179 3.28445
"444" 1 -1.4179 3.306902
"445" 2.5 -1.4179 3.340541
"446" 5 -1.4179 2.734281
"447" 7.5 -1.4179 1.987234
"477" 0 6.2532 3.674691
"478" 1 6.2532 3.665698
"479" 2.5 6.2532 3.652173
"480" 5 6.2532 2.76031
"481" 7.5 6.2532 2.15371
"511" 0 12.8317 6.226006
"512" 1 12.8317 6.180564
"513" 2.5 12.8317 6.112414
"514" 5 12.8317 5.416568
"515" 7.5 12.8317 5.262139
"545" 0 15.921 13.40183
"546" 1 15.921 13.38928
"547" 2.5 15.921 13.37052
"548" 5 15.921 12.49554
"549" 7.5 15.921 9.452444
"579" 0 19.64 20.99375
"580" 1 19.64 21.06205
"581" 2.5 19.64 21.16622
"582" 5 19.64 19.61092
"583" 7.5 19.64 12.04949
"613" 0 21.2452 23.3428
"614" 1 21.2452 23.44307
"615" 2.5 21.2452 23.59885
"616" 5 21.2452 22.06303
"617" 7.5 21.2452 13.99873
"647" 0 21.8435 21.81123
"648" 1 21.8435 21.90462
"649" 2.5 21.8435 22.05373
"650" 5 21.8435 20.99599
"651" 7.5 21.8435 15.10749
"681" 0 18.4833 18.13191
"682" 1 18.4833 18.19501
"683" 2.5 18.4833 18.30007
"684" 5 18.4833 17.84364
"685" 7.5 18.4833 15.04881
"715" 0 10.3323 13.9774
"716" 1 10.3323 14.00201
"717" 2.5 10.3323 14.0464
"718" 5 10.3323 13.99962
"719" 7.5 10.3323 13.54706
"749" 0 6.9183 10.81541
"750" 1 6.9183 10.78233
"751" 2.5 6.9183 10.73259
"752" 5 6.9183 10.66934
"753" 7.5 6.9183 10.60613
"783" 0 2.0726 8.733723
"784" 1 2.0726 8.522611
"785" 2.5 2.0726 8.201342
"786" 5 2.0726 7.94043
"787" 7.5 2.0726 7.695147
"817" 0 3.9968 7.303243
"818" 1 3.9968 6.901116
"819" 2.5 3.9968 6.293705
"820" 5 3.9968 5.900507
"821" 7.5 3.9968 5.689001
"851" 0 2.519 6.34896
"852" 1 2.519 5.958557
"853" 2.5 2.519 5.37113
"854" 5 2.519 5.033334
"855" 7.5 2.519 4.94432
"885" 0 9.5355 5.732882
"886" 1 9.5355 5.713858
"887" 2.5 9.5355 5.685201
"888" 5 9.5355 5.668193
"889" 7.5 9.5355 5.662323
"919" 0 10.9683 10.24775
"920" 1 10.9683 9.886488
"921" 2.5 10.9683 9.3446
"922" 5 10.9683 8.924837
"923" 7.5 10.9683 7.847563
"953" 0 15.7581 17.0207
"954" 1 15.7581 16.98097
"955" 2.5 15.7581 16.92138
"956" 5 15.7581 16.9319
"957" 7.5 15.7581 15.08649
"987" 0 16.985 17.45284
"988" 1 16.985 17.30832
"989" 2.5 16.985 17.09155
"990" 5 16.985 17.17926
"991" 7.5 16.985 17.0703
"1021" 0 16.6419 16.83151
"1022" 1 16.6419 16.37709
"1023" 2.5 16.6419 15.69546
"1024" 5 16.6419 15.09645
"1025" 7.5 16.6419 14.43854
"1055" 0 18.6258 20.78144
"1056" 1 18.6258 20.07535
"1057" 2.5 18.6258 19.01625
"1058" 5 18.6258 18.34415
"1059" 7.5 18.6258 16.17266
"1089" 0 15.5567 17.89211
"1090" 1 15.5567 17.74764
"1091" 2.5 15.5567 17.53086
"1092" 5 15.5567 17.10119
"1093" 7.5 15.5567 15.6295
"1123" 0 11.3581 14.70849
"1124" 1 11.3581 14.70997
"1125" 2.5 11.3581 14.71243
"1126" 5 11.3581 14.72759
"1127" 7.5 11.3581 14.77888
"1157" 0 5.0667 10.81334
"1158" 1 5.0667 10.8102
"1159" 2.5 5.0667 10.80697
"1160" 5 5.0667 10.80046
"1161" 7.5 5.0667 10.7951
"1191" 0 0.5355 6.898859
"1192" 1 0.5355 6.935631
"1193" 2.5 0.5355 7.009064
"1194" 5 0.5355 7.070762
"1195" 7.5 0.5355 7.089069
"1225" 0 1.0581 3.227668
"1226" 1 1.0581 3.509522
"1227" 2.5 1.0581 3.952089
"1228" 5 1.0581 4.449188
"1229" 7.5 1.0581 4.633085
"1259" 0 2.5339 1.992535
"1260" 1 2.5339 2.374038
"1261" 2.5 2.5339 2.954861
"1262" 5 2.5339 3.633321
"1263" 7.5 2.5339 3.870249
"1293" 0 4.3694 4.846012
"1294" 1 4.3694 4.761714
"1295" 2.5 4.3694 4.635704
"1296" 5 4.3694 4.489407
"1297" 7.5 4.3694 4.3172
"1327" 0 13.1183 10.38524
"1328" 1 13.1183 9.633694
"1329" 2.5 13.1183 8.506537
"1330" 5 13.1183 7.32008
"1331" 7.5 13.1183 6.547876
"1361" 0 12.95 15.39854
"1362" 1 12.95 14.59258
"1363" 2.5 12.95 13.38356
"1364" 5 12.95 12.21159
"1365" 7.5 12.95 11.58225
"1395" 0 17.465 20.41328
"1396" 1 17.465 19.7856
"1397" 2.5 17.465 18.84398
"1398" 5 17.465 17.71693
"1399" 7.5 17.465 17.28092
"1429" 0 21.0387 23.12527
"1430" 1 21.0387 22.77279
"1431" 2.5 21.0387 22.24407
"1432" 5 21.0387 21.35473
"1433" 7.5 21.0387 19.27499
"1463" 0 20.0097 23.22373
"1464" 1 20.0097 23.02201
"1465" 2.5 20.0097 22.71941
"1466" 5 20.0097 22.3737
"1467" 7.5 20.0097 19.08746
"1497" 0 18.3567 21.6176
"1498" 1 18.3567 21.34133
"1499" 2.5 18.3567 20.92692
"1500" 5 18.3567 20.97271
"1501" 7.5 18.3567 20.73778
"1531" 0 12.4661 15.53888
"1532" 1 12.4661 15.37274
"1533" 2.5 12.4661 15.12358
"1534" 5 12.4661 15.22072
"1535" 7.5 12.4661 15.87746
"1565" 0 3.6183 9.11343
"1566" 1 3.6183 9.107413
"1567" 2.5 3.6183 9.09838
"1568" 5 3.6183 9.100303
"1569" 7.5 3.6183 9.124566
"1599" 0 3.0516 6.256496
"1600" 1 3.0516 6.277244
"1601" 2.5 3.0516 6.308246
"1602" 5 3.0516 6.258231
"1603" 7.5 3.0516 6.048998
"1633" 0 -0.371 5.484354
"1634" 1 -0.371 5.468404
"1635" 2.5 -0.371 5.444487
"1636" 5 -0.371 5.394568
"1637" 7.5 -0.371 5.33037
"1667" 0 3.8804 4.571059
"1668" 1 3.8804 4.562948
"1669" 2.5 3.8804 4.550909
"1670" 5 3.8804 4.532732
"1671" 7.5 3.8804 4.527145
"1701" 0 6.3129 5.162306
"1702" 1 6.3129 5.106734
"1703" 2.5 6.3129 5.026576
"1704" 5 6.3129 4.891876
"1705" 7.5 6.3129 4.747304
"1735" 0 7.5883 6.854161
"1736" 1 7.5883 6.784451
"1737" 2.5 7.5883 6.681016
"1738" 5 7.5883 6.461968
"1739" 7.5 7.5883 6.065709
"1769" 0 15.2435 15.11521
"1770" 1 15.2435 14.3725
"1771" 2.5 15.2435 13.25819
"1772" 5 15.2435 9.561351
"1773" 7.5 15.2435 8.086904
