STN,YYYYMMDD,   RD
664,18800802,25
664,18800803,53
664,18800804,25
664,18800805,0
664,18800806,0
664,18800807,10
664,18800808,25
664,18800809,230
664,18800810,3
664,18800811,0
664,18800812,4
664,18800813,1
664,18800814,0
664,18800815,1
664,18800816,3
664,18800817,0
664,18800818,1
664,18800819,0
664,18800820,0
664,18800821,0
664,18800822,0
664,18800823,0
664,18800824,0
664,18800825,0
664,18800826,0
664,18800827,0
664,18800828,0
664,18800829,0
664,18800830,0
664,18800831,0
664,18800901,0
664,18800902,0
664,18800903,0
664,18800904,0
664,18800905,100
664,18800906,75
664,18800907,62
664,18800908,140
664,18800909,0
664,18800910,25
664,18800911,0
664,18800912,0
664,18800913,0
664,18800914,3
664,18800915,5
664,18800916,30
664,18800917,5
664,18800918,60
664,18800919,32
664,18800920,155
664,18800921,65
664,18800922,0
664,18800923,48
664,18800924,25
664,18800925,3
664,18800926,0
664,18800927,0
664,18800928,0
664,18800929,3
664,18800930,0
664,18801001,0
664,18801002,0
664,18801003,195
664,18801004,93
664,18801005,37
664,18801006,23
664,18801007,127
664,18801008,55
664,18801009,53
664,18801010,85
664,18801011,158
664,18801012,0
664,18801013,5
664,18801014,12
664,18801015,3
664,18801016,0
664,18801017,0
664,18801018,0
664,18801019,22
664,18801020,15
664,18801021,195
664,18801022,88
664,18801023,15
664,18801024,4
664,18801025,0
664,18801026,12
664,18801027,95
664,18801028,13
664,18801029,42
664,18801030,15
664,18801031,10
664,18801101,77
664,18801102,5
664,18801103,0
664,18801104,0
664,18801105,0
664,18801106,0
664,18801107,0
664,18801108,80
664,18801109,5
664,18801110,48
664,18801111,3
664,18801112,35
664,18801113,63
664,18801114,55
664,18801115,115
664,18801116,58
664,18801117,42
664,18801118,40
664,18801119,195
664,18801120,20
664,18801121,0
664,18801122,55
664,18801123,15
664,18801124,0
664,18801125,83
664,18801126,37
664,18801127,30
664,18801128,0
664,18801129,0
664,18801130,0
664,18801201,0
664,18801202,0
664,18801203,8
664,18801204,40
664,18801205,0
664,18801206,45
664,18801207,10
664,18801208,0
664,18801209,28
664,18801210,5
664,18801211,0
664,18801212,25
664,18801213,105
664,18801214,60
664,18801215,5
664,18801216,130
664,18801217,0
664,18801218,0
664,18801219,0
664,18801220,85
664,18801221,30
664,18801222,5
664,18801223,80
664,18801224,50
664,18801225,0
664,18801226,25
664,18801227,0
664,18801228,115
664,18801229,45
664,18801230,13
664,18801231,140
664,18810101,20
664,18810102,8
664,18810103,0
664,18810104,0
664,18810105,0
664,18810106,0
664,18810107,0
664,18810108,0
664,18810109,0
664,18810110,0
664,18810111,15
664,18810112,10
664,18810113,125
664,18810114,5
664,18810115,0
664,18810116,18
664,18810117,5
664,18810118,20
664,18810119,60
664,18810120,35
664,18810121,10
664,18810122,0
664,18810123,5
664,18810124,0
664,18810125,0
664,18810126,0
664,18810127,0
664,18810128,22
664,18810129,20
664,18810130,20
664,18810131,0
664,18810201,0
664,18810202,0
664,18810203,40
664,18810204,22
664,18810205,15
664,18810206,5
664,18810207,18
664,18810208,87
664,18810209,105
664,18810210,100
664,18810211,210
664,18810212,32
664,18810213,5
664,18810214,0
664,18810215,0
664,18810216,0
664,18810217,0
664,18810218,0
664,18810219,0
664,18810220,0
664,18810221,0
664,18810222,15
664,18810223,10
664,18810224,0
664,18810225,0
664,18810226,0
664,18810227,0
664,18810228,3
664,18810301,5
664,18810302,0
664,18810303,0
664,18810304,0
664,18810305,10
664,18810306,125
664,18810307,30
664,18810308,200
664,18810309,22
664,18810310,293
664,18810311,25
664,18810312,3
664,18810313,0
664,18810314,0
664,18810315,0
664,18810316,0
664,18810317,0
664,18810318,0
664,18810319,0
664,18810320,55
664,18810321,40
664,18810322,32
664,18810323,40
664,18810324,78
664,18810325,65
664,18810326,0
664,18810327,0
664,18810328,0
664,18810329,0
664,18810330,0
664,18810331,0
664,18810401,0
664,18810402,0
664,18810403,0
664,18810404,0
664,18810405,0
664,18810406,0
664,18810407,0
664,18810408,0
664,18810409,0
664,18810410,0
664,18810411,0
664,18810412,3
664,18810413,52
664,18810414,0
664,18810415,0
664,18810416,0
664,18810417,0
664,18810418,0
664,18810419,0
664,18810420,0
664,18810421,3
664,18810422,2
664,18810423,0
664,18810424,0
664,18810425,0
664,18810426,80
664,18810427,0
664,18810428,0
664,18810429,0
664,18810430,23
664,18810501,5
664,18810502,12
664,18810503,33
664,18810504,0
664,18810505,15
664,18810506,0
664,18810507,0
664,18810508,0
664,18810509,0
664,18810510,17
664,18810511,0
664,18810512,0
664,18810513,0
664,18810514,0
664,18810515,0
664,18810516,0
664,18810517,35
664,18810518,30
664,18810519,112
664,18810520,28
664,18810521,0
664,18810522,0
664,18810523,0
664,18810524,0
664,18810525,0
664,18810526,0
664,18810527,90
664,18810528,30
664,18810529,88
664,18810530,0
664,18810531,0
664,18810601,0
